epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.8376,1.14714,1.29453,1.45292,0.00907,0.1256,0.00229,0.00063,4.09479,322.061,31.3142,0.000654545,0.000654545,0.000654545
2,37.6772,1.31606,1.14118,1.56215,0,0,0,0,nan,nan,nan,0.00130668,0.00130668,0.00130668
3,55.2426,1.29934,1.09072,1.5311,0.2564,0.00966,0.00229,0.00114,nan,nan,nan,0.00194415,0.00194415,0.00194415
4,73.5166,1.27588,1.03722,1.51473,0.01847,0.00966,0.00116,0.00062,nan,nan,nan,0.001934,0.001934,0.001934
5,92.8763,1.19313,0.92235,1.44783,0.66632,0.57488,0.60118,0.33201,1.77423,4.32747,2.38062,0.001912,0.001912,0.001912
6,111.028,1.13315,0.88129,1.41018,0.79603,0.70531,0.79359,0.46967,1.30865,1.82304,1.71007,0.00189,0.00189,0.00189
7,129.527,1.08066,0.80285,1.36423,0.76986,0.63285,0.67442,0.41996,1.38741,1.37167,1.74195,0.001868,0.001868,0.001868
8,148.095,1.05179,0.76745,1.36623,0.59907,0.36715,0.45348,0.23974,1.81651,2.90274,2.30339,0.001846,0.001846,0.001846
9,165.783,0.99618,0.73612,1.31932,0.85472,0.67633,0.75131,0.4497,1.34245,1.06013,1.76782,0.001824,0.001824,0.001824
10,183.44,1.0194,0.75168,1.33637,0.84092,0.89381,0.92644,0.62943,1.02593,1.06296,1.41204,0.001802,0.001802,0.001802
11,203.531,0.97306,0.6941,1.29621,0.90899,0.88889,0.93853,0.65145,0.90807,0.6231,1.35679,0.00178,0.00178,0.00178
12,221.598,0.97354,0.67805,1.29127,0.87526,0.88132,0.9272,0.65955,0.98414,0.70582,1.3652,0.001758,0.001758,0.001758
13,239.675,0.94341,0.67155,1.2728,0.91642,0.88406,0.92305,0.63247,0.97364,0.65897,1.38736,0.001736,0.001736,0.001736
14,257.375,0.92687,0.63077,1.26689,0.96128,0.83962,0.93597,0.64273,1.10724,0.73078,1.46362,0.001714,0.001714,0.001714
15,274.897,0.94987,0.64391,1.26979,0.94127,0.86957,0.93161,0.6659,0.93892,0.57745,1.36613,0.001692,0.001692,0.001692
16,293.112,0.91848,0.62402,1.25749,0.94222,0.78784,0.889,0.58439,1.04191,0.7296,1.45865,0.00167,0.00167,0.00167
17,311.144,0.93426,0.63942,1.27233,0.94871,0.89352,0.9504,0.6522,0.98016,0.52617,1.37759,0.001648,0.001648,0.001648
18,328.908,0.90442,0.60694,1.25454,0.93314,0.85507,0.93277,0.62628,1.18696,0.6846,1.51173,0.001626,0.001626,0.001626
19,346.763,0.88608,0.58413,1.24359,0.92219,0.91604,0.94946,0.6858,0.89604,0.53606,1.30809,0.001604,0.001604,0.001604
20,365.018,0.87874,0.58679,1.2297,0.97441,0.87923,0.9611,0.69136,0.89218,0.4647,1.3276,0.001582,0.001582,0.001582
21,385.531,0.87444,0.57769,1.23796,0.94749,0.8717,0.94813,0.66108,0.94178,0.62352,1.35823,0.00156,0.00156,0.00156
22,403.44,0.84328,0.56373,1.22017,0.95543,0.9321,0.96197,0.6878,0.90648,0.49519,1.27682,0.001538,0.001538,0.001538
23,421.193,0.84548,0.56702,1.21044,0.93652,0.92645,0.95417,0.6842,0.87444,0.48722,1.30131,0.001516,0.001516,0.001516
24,438.616,0.84446,0.55705,1.21382,0.94177,0.93763,0.97024,0.71702,0.81951,0.43878,1.25534,0.001494,0.001494,0.001494
25,456.771,0.8215,0.54478,1.19636,0.95213,0.92754,0.9655,0.72385,0.8709,0.47069,1.26687,0.001472,0.001472,0.001472
26,474.864,0.84871,0.54125,1.20925,0.93347,0.94894,0.96941,0.70575,0.86129,0.44038,1.2598,0.00145,0.00145,0.00145
27,492.32,0.80858,0.53218,1.18424,0.9665,0.90821,0.95863,0.69795,0.87873,0.47392,1.28821,0.001428,0.001428,0.001428
28,510.065,0.81455,0.5375,1.18766,0.9314,0.91828,0.96493,0.72606,0.80967,0.45605,1.24974,0.001406,0.001406,0.001406
29,528.107,0.81764,0.52561,1.19334,0.93078,0.89372,0.95138,0.69974,0.83393,0.50493,1.29026,0.001384,0.001384,0.001384
30,545.429,0.79201,0.50898,1.16676,0.92221,0.93237,0.97063,0.71067,0.97428,0.45863,1.34816,0.001362,0.001362,0.001362
31,564.177,0.78907,0.50271,1.17031,0.94229,0.94656,0.97672,0.73259,0.79884,0.43019,1.23655,0.00134,0.00134,0.00134
32,582.618,0.78484,0.50839,1.16539,0.95785,0.94686,0.97766,0.6913,0.82652,0.4243,1.23727,0.001318,0.001318,0.001318
33,601.092,0.80779,0.51185,1.17832,0.97511,0.94623,0.98728,0.73588,0.80207,0.39977,1.20336,0.001296,0.001296,0.001296
34,619.121,0.79291,0.50129,1.17397,0.94818,0.93237,0.97313,0.72176,0.85096,0.43256,1.23829,0.001274,0.001274,0.001274
35,637.29,0.78119,0.49177,1.15918,0.94765,0.962,0.98497,0.75324,0.76068,0.41169,1.19959,0.001252,0.001252,0.001252
36,655.576,0.77694,0.48291,1.15514,0.98268,0.93237,0.98184,0.73717,0.79583,0.40361,1.20838,0.00123,0.00123,0.00123
37,674.558,0.76337,0.48131,1.15692,0.96532,0.94138,0.98097,0.74434,0.77402,0.40282,1.18785,0.001208,0.001208,0.001208
38,692.546,0.76952,0.48441,1.15135,0.95761,0.98229,0.98349,0.73418,0.79569,0.39493,1.24372,0.001186,0.001186,0.001186
39,710.601,0.75876,0.47665,1.14998,0.97499,0.94149,0.98249,0.73861,0.75295,0.38937,1.17373,0.001164,0.001164,0.001164
40,728.117,0.74775,0.46883,1.14468,0.95437,0.90945,0.96973,0.74548,0.74791,0.3977,1.2133,0.001142,0.001142,0.001142
41,745.677,0.75584,0.47751,1.15216,0.9657,0.95204,0.9784,0.73547,0.77136,0.4022,1.20161,0.00112,0.00112,0.00112
42,763.142,0.73363,0.45655,1.13124,0.94694,0.97101,0.98536,0.75406,0.73716,0.36809,1.17748,0.001098,0.001098,0.001098
43,781.299,0.73866,0.45308,1.13533,0.97502,0.96618,0.98271,0.74169,0.8228,0.38976,1.23723,0.001076,0.001076,0.001076
44,798.691,0.74626,0.4748,1.13544,0.96602,0.96148,0.98777,0.76345,0.75252,0.37443,1.16598,0.001054,0.001054,0.001054
45,816.479,0.74471,0.45271,1.1431,0.95286,0.96618,0.98695,0.75913,0.73875,0.38831,1.14329,0.001032,0.001032,0.001032
46,833.954,0.74017,0.4461,1.14675,0.96946,0.95652,0.98469,0.76763,0.76517,0.36576,1.19864,0.00101,0.00101,0.00101
47,852.054,0.72708,0.44754,1.11995,0.97678,0.95169,0.98214,0.7597,0.74202,0.37044,1.16617,0.000988,0.000988,0.000988
48,869.579,0.72129,0.44244,1.1229,0.96579,0.95477,0.98411,0.7787,0.71374,0.3594,1.13921,0.000966,0.000966,0.000966
49,887.61,0.70695,0.43439,1.11163,0.9668,0.98469,0.99236,0.76792,0.68394,0.33797,1.13515,0.000944,0.000944,0.000944
50,905.062,0.70948,0.44719,1.11498,0.97582,0.97465,0.99304,0.77098,0.7632,0.36951,1.15417,0.000922,0.000922,0.000922
51,922.991,0.70271,0.43275,1.11273,0.9747,0.93047,0.97845,0.75837,0.76905,0.3683,1.18137,0.0009,0.0009,0.0009
52,940.407,0.71263,0.43554,1.11959,0.98661,0.9372,0.99125,0.79029,0.70743,0.33707,1.13932,0.000878,0.000878,0.000878
53,958.653,0.69369,0.43777,1.11843,0.97897,0.96618,0.98545,0.78627,0.71104,0.34287,1.13467,0.000856,0.000856,0.000856
54,976.28,0.68607,0.42455,1.10196,0.97483,0.96135,0.99035,0.78261,0.68699,0.33797,1.12439,0.000834,0.000834,0.000834
55,994.373,0.69242,0.4249,1.10951,0.9667,0.95652,0.98323,0.78114,0.69512,0.34461,1.11702,0.000812,0.000812,0.000812
56,1012.82,0.69228,0.42409,1.10106,0.94878,0.98435,0.99129,0.79559,0.68119,0.32902,1.12044,0.00079,0.00079,0.00079
57,1030.81,0.67932,0.41323,1.0985,0.96071,0.98551,0.99256,0.79363,0.68075,0.31966,1.10303,0.000768,0.000768,0.000768
58,1050.77,0.68605,0.4134,1.10937,0.96653,0.97662,0.99262,0.77627,0.69202,0.3396,1.11484,0.000746,0.000746,0.000746
59,1068.62,0.66198,0.41082,1.08838,0.98018,0.98068,0.99283,0.79863,0.70044,0.33724,1.11012,0.000724,0.000724,0.000724
60,1087.61,0.66471,0.40227,1.0881,0.97744,0.97585,0.99318,0.77844,0.70349,0.33226,1.12553,0.000702,0.000702,0.000702
61,1106.07,0.66267,0.40624,1.09146,0.9708,0.96358,0.99124,0.80114,0.68327,0.31922,1.11474,0.00068,0.00068,0.00068
62,1123.88,0.65352,0.40651,1.09107,0.99014,0.97005,0.99348,0.80361,0.72061,0.31965,1.11789,0.000658,0.000658,0.000658
63,1142.77,0.66657,0.40044,1.0929,0.98536,0.97531,0.99236,0.80121,0.66811,0.31802,1.10583,0.000636,0.000636,0.000636
64,1162.75,0.66566,0.40264,1.08749,0.98355,0.97101,0.9935,0.80716,0.69427,0.33856,1.1201,0.000614,0.000614,0.000614
65,1181.36,0.63701,0.38738,1.07747,0.97587,0.97669,0.99323,0.80662,0.67167,0.31545,1.13015,0.000592,0.000592,0.000592
66,1198.88,0.62775,0.38028,1.06644,0.98179,0.97585,0.99363,0.80248,0.66738,0.31184,1.12343,0.00057,0.00057,0.00057
67,1216.46,0.64344,0.38418,1.06796,0.97825,0.98551,0.99417,0.80238,0.67562,0.32163,1.09951,0.000548,0.000548,0.000548
68,1234.07,0.63463,0.37968,1.06467,0.97786,0.98068,0.99343,0.80856,0.66759,0.32379,1.10642,0.000526,0.000526,0.000526
69,1251.76,0.63479,0.38291,1.07189,0.98034,0.96353,0.99254,0.82021,0.65754,0.3109,1.07232,0.000504,0.000504,0.000504
70,1269.98,0.62592,0.37737,1.06158,0.97594,0.97976,0.99314,0.81527,0.65401,0.30673,1.08748,0.000482,0.000482,0.000482
71,1287.48,0.64166,0.38836,1.07587,0.97592,0.97898,0.99299,0.81161,0.66613,0.30098,1.09192,0.00046,0.00046,0.00046
72,1305.02,0.59917,0.36486,1.05459,0.97372,0.98068,0.99244,0.80765,0.65737,0.30642,1.09828,0.000438,0.000438,0.000438
73,1323.2,0.61166,0.37313,1.06376,0.98946,0.98068,0.9939,0.82005,0.66342,0.30208,1.0923,0.000416,0.000416,0.000416
74,1342.27,0.60343,0.36944,1.05842,0.98074,0.98406,0.99342,0.81668,0.65894,0.30132,1.08316,0.000394,0.000394,0.000394
75,1360.94,0.6112,0.3603,1.05361,0.98435,0.98551,0.99375,0.81873,0.62866,0.29415,1.06874,0.000372,0.000372,0.000372
76,1378.77,0.59655,0.35484,1.04524,0.98547,0.98318,0.99354,0.81911,0.65145,0.29241,1.08869,0.00035,0.00035,0.00035
77,1396.46,0.60026,0.35493,1.05101,0.98933,0.98551,0.99437,0.82088,0.6339,0.29853,1.06081,0.000328,0.000328,0.000328
78,1414.63,0.59344,0.36123,1.04606,0.98657,0.98068,0.99392,0.82206,0.63197,0.2997,1.06459,0.000306,0.000306,0.000306
79,1432.79,0.56623,0.3488,1.03475,0.99028,0.98399,0.99398,0.82453,0.65466,0.28226,1.08673,0.000284,0.000284,0.000284
80,1453.27,0.57915,0.35493,1.04466,0.98288,0.98068,0.99375,0.82669,0.65806,0.29398,1.07025,0.000262,0.000262,0.000262
81,1519.79,0.52886,0.27443,1.01315,0.97743,0.97101,0.99229,0.82111,0.64074,0.30566,1.07928,0.00024,0.00024,0.00024
82,1537.41,0.52377,0.26455,1.01472,0.98061,0.97744,0.9939,0.82699,0.63741,0.2859,1.1076,0.000218,0.000218,0.000218
83,1555.51,0.51616,0.25925,1.00429,0.96494,0.98068,0.99351,0.83802,0.61728,0.28865,1.07233,0.000196,0.000196,0.000196
84,1573.19,0.50292,0.25439,0.98961,0.98435,0.98551,0.99418,0.82594,0.6198,0.27916,1.06708,0.000174,0.000174,0.000174
85,1592.16,0.49783,0.25234,0.99851,0.98539,0.9772,0.99423,0.82986,0.61386,0.27174,1.06329,0.000152,0.000152,0.000152
86,1611.75,0.48765,0.24784,0.98165,0.99023,0.97923,0.994,0.83511,0.60465,0.27982,1.04763,0.00013,0.00013,0.00013
87,1631.28,0.47814,0.24202,0.98264,0.98067,0.98055,0.99399,0.83925,0.60482,0.28072,1.04406,0.000108,0.000108,0.000108
88,1650.63,0.47499,0.24285,0.97945,0.97556,0.98551,0.99384,0.83736,0.6084,0.27285,1.05658,8.6e-05,8.6e-05,8.6e-05
89,1669.82,0.47201,0.24024,0.97086,0.97144,0.98596,0.99384,0.83739,0.60353,0.26348,1.04077,6.4e-05,6.4e-05,6.4e-05
90,1689.35,0.46251,0.23625,0.97893,0.97606,0.98478,0.99379,0.84,0.59839,0.26762,1.04013,4.2e-05,4.2e-05,4.2e-05
